iter	Passed	Remaining
0	57	57156
1	57	28760
2	58	19290
3	58	14559
4	58	11707
5	59	9811
6	59	8452
7	59	7431
8	60	6635
9	60	6003
10	61	5487
11	61	5056
12	61	4689
13	62	4376
14	62	4103
15	62	3863
16	63	3651
17	63	3462
18	63	3297
19	64	3145
20	64	3008
21	64	2884
22	65	2771
23	65	2669
24	66	2574
25	66	2484
26	66	2403
27	67	2326
28	67	2255
29	67	2190
30	68	2129
31	68	2072
32	68	2018
33	69	1968
34	69	1920
35	70	1875
36	70	1831
37	70	1790
38	71	1750
39	71	1713
40	71	1677
41	72	1643
42	72	1610
43	72	1579
44	73	1549
45	73	1521
46	73	1494
47	74	1469
48	74	1443
49	74	1420
50	75	1397
51	75	1375
52	75	1354
53	76	1333
54	76	1314
55	76	1295
56	77	1276
57	77	1259
58	77	1241
59	78	1224
60	78	1207
61	78	1193
62	79	1178
63	79	1163
64	79	1149
65	80	1136
66	80	1122
67	80	1107
68	81	1094
69	81	1082
70	81	1070
71	82	1058
72	82	1046
73	82	1035
74	83	1024
75	83	1014
76	83	1003
77	84	993
78	84	983
79	84	974
80	85	964
81	85	955
82	85	946
83	86	938
84	86	928
85	86	920
86	86	911
87	87	903
88	87	896
89	87	888
90	88	881
91	88	873
92	88	866
93	89	859
94	89	852
95	89	845
96	90	839
97	90	832
98	90	826
99	91	820
100	91	814
101	91	806
102	91	801
103	92	795
104	92	789
105	92	784
106	93	778
107	93	773
108	93	767
109	94	762
110	94	757
111	94	752
112	95	747
113	95	743
114	95	738
115	96	732
116	96	728
117	96	723
118	97	718
119	97	714
120	97	709
121	98	705
122	98	700
123	98	696
124	98	692
125	99	688
126	99	684
127	99	679
128	100	675
129	100	672
130	100	668
131	101	664
132	101	661
133	101	657
134	102	654
135	102	650
136	102	647
137	103	643
138	103	640
139	103	637
140	104	633
141	104	630
142	104	627
143	105	624
144	105	621
145	105	618
146	106	615
147	106	612
148	106	609
149	107	606
150	107	603
151	107	600
152	108	598
153	108	595
154	108	592
155	109	589
156	109	587
157	109	584
158	110	582
159	110	579
160	110	576
