iter	Passed	Remaining
0	58	58756
1	59	29668
2	59	19920
3	60	15045
4	60	12104
5	61	10138
6	62	8824
7	62	7760
8	62	6932
9	63	6277
10	63	5744
11	64	5291
12	64	4914
13	65	4584
14	65	4301
15	65	4058
16	66	3838
17	66	3642
18	67	3471
19	67	3316
20	68	3181
21	68	3055
22	69	2934
23	69	2829
24	70	2731
25	70	2637
26	70	2551
27	71	2470
28	71	2394
29	71	2324
30	72	2258
31	72	2196
32	73	2140
33	73	2085
34	73	2035
35	74	1986
36	74	1940
37	75	1899
38	75	1858
39	75	1818
40	76	1781
41	76	1745
42	76	1710
43	77	1678
44	77	1647
45	77	1617
46	78	1587
47	78	1562
48	79	1536
49	79	1510
50	79	1486
51	80	1463
52	80	1441
53	81	1419
54	81	1398
55	81	1378
56	82	1359
57	82	1340
58	82	1321
59	83	1305
60	83	1290
61	84	1273
62	84	1257
63	84	1241
64	85	1226
65	85	1211
66	85	1197
67	86	1183
68	86	1169
69	87	1156
70	87	1144
71	87	1133
72	88	1121
73	88	1110
74	89	1098
75	89	1086
76	89	1075
77	90	1064
78	90	1053
79	90	1043
80	91	1033
81	91	1023
82	91	1011
83	91	1002
84	92	993
85	92	984
86	92	975
87	93	966
88	93	958
89	93	950
90	94	941
91	94	933
92	94	925
93	95	919
94	95	912
95	96	904
96	96	897
97	96	890
98	97	883
99	97	876
100	97	869
101	98	862
102	98	856
103	98	850
104	99	844
105	99	838
106	99	832
107	100	826
108	100	820
109	100	814
110	101	809
111	101	803
112	101	798
113	102	792
114	102	787
115	102	782
116	102	777
117	103	772
118	103	767
119	104	762
120	104	758
121	104	753
122	104	748
123	105	743
124	105	739
125	105	735
126	106	730
127	106	726
128	107	724
129	107	720
130	107	716
131	108	711
132	108	707
133	108	703
134	109	700
135	109	696
136	109	692
137	110	689
138	110	685
139	110	681
140	111	678
141	111	674
142	111	671
143	112	668
144	112	664
145	113	661
146	113	658
147	113	655
148	114	652
149	114	648
150	114	645
151	115	642
152	115	639
153	115	636
154	116	633
155	116	630
156	116	627
157	117	624
158	117	621
159	117	619
160	118	615
161	118	612
162	118	609
163	119	607
164	119	604
165	119	601
166	120	599
167	120	596
168	120	594
169	121	591
170	121	588
171	121	586
172	122	583
173	122	581
174	122	579
175	123	576
176	123	574
177	123	572
178	124	569
179	124	567
180	124	565
181	125	562
182	125	560
183	125	558
184	126	555
185	126	553
186	126	551
187	127	549
188	127	547
189	127	545
190	128	543
191	128	540
192	128	538
193	129	536
194	129	534
195	129	532
